id,english,hindi,hindi_transliteration,tamil,tamil_transliteration,telugu,telugu_transliteration,bengali,bengali_transliteration,malayalam,malayalam_transliteration,kannada,kannada_transliteration,marathi,marathi_transliteration,gujarati,gujarati_transliteration,punjabi,punjabi_transliteration,hint,category
1,Hello,नमस्ते,namaste,வணக்கம்,vaṇakkam,హలో,halo,হ্যালো,hyalo,ഹലോ,halō,ಹಲೋ,halō,नमस्कार,namaskaar,નમસ્તે,namaste,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,sat sri akaal,greeting,greeting
2,Thank you,धन्यवाद,dhanyavaad,நன்றி,nanri,ధన్యవాదాలు,dhanayavaadaalu,ধন্যবাদ,dhonyobaad,നന്ദി,nandi,ಧನ್ಯವಾದಗಳು,dhanyavaadagalu,धन्यवाद,dhanyavaad,આભાર,aabhaar,ਧੰਨਵਾਦ,dhannvaad,gratitude,gratitude
3,Good morning,सुप्रभात,suprabhaat,காலை வணக்கம்,kaalai vaṇakkam,శుభోదయం,shubhodayaṁ,সুপ্রভাত,suprabhat,സുപ്രഭാതം,suprabhaatham,ಶುಭೋದಯ,shubhodaya,शुभ प्रभात,shubh prabhat,સુપ્રભાત,suprabhaat,ਸੁਪ੍ਰਭਾਤ,suprabhaat,greeting-time,greeting
4,Good night,शुभ रात्रि,shubh raatri,இரவு வணக்கம்,iravu vaṇakkam,శుభ రాత్రి,shubha raatri,শুভ রাত্রি,shubho ra tri,ശുഭ രാത്രി,shubha raathri,ಶುಭ ರಾತ್ರಿ,shubha raatri,शुभ रात्री,shubh raatri,શુભ રાત્રી,shubh raatri,ਸ਼ੁਭ ਰਾਤਰੀ,shubh raateri,farewell,farewell
5,How are you?,आप कैसे हैं?,aap kaise hain?,நீங்கள் எப்படி இருக்கிறீர்கள்?,neenga epadi irukkireergal?,మీరు ఎలా ఉన్నారు?,meeru ela unnaru?,আপনি কেমন আছেন?,apni kemon aachen?,നിങ്ങൾ സുഖമാണോ?,ningal sukhamaano?,ನೀವು ಹೇಗಿದ್ದೀರಿ?,neevu hegiddiri?,तू कसा आहेस?,tu kasa aahe?,તમે કેમ છો?,tame kem cho?,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?,tusi kivain ho?,question,conversation
6,I am fine,मैं ठीक हूँ,main theek hoon,நான் நன்றாக இருக்கிறேன்,naan nandraaga irukkiren,నేను బాగా ఉన్నాను,nenu baaga unnanu,আমি ভাল আছি,ami bhalo achi,എനിക്ക് സുഖം,ennikku sukham,ನಾನು ಚೆನ್ನಾಗಿದ್ದೇನೆ,naanu chennagiddini,मी ठीक आहे,mi theek aahe,હું બરાબર છું,huṁ barbaṛ chhuṁ,ਮੈਂ ਠੀਕ ਹਾਂ,main theek haan,intro-response,conversation
7,See you soon,जल्द मिलते हैं,jald milte hain,உங்களை விரைவில் சந்திக்கிறேன்,ungalai viraivil sandhikkiren,త్వరలో కలుద్దాం,tvaralo kaluddaam,দেখা হবে শীঘ্রই,dekhā hobe shighroi,വേഗം കാണാം,veǵam kaanaam,ಶೀಘ್ರದಲ್ಲೇ ನೋಡುವೆವು,shighradhallē noduvevu,लवकर भेटू,lavkar bhetu,જલ્દી મળીએ,jaldi maḷiye,ਜਲਦੀ ਮਿਲਾਂਗੇ,jaldi milange,farewell,farewell
8,What is your name?,आपका नाम क्या है?,aapka naam kya hai?,உங்கள் பெயர் என்ன?,ungal peyar enna?,మీ పేరు ఏమిటి?,mee peru emiti?,তোমার নাম কী?,tomar naam ki?,നിങ്ങളുടെ പേര് എന്താണ്?,ningalude peru enthaanu?,ನಿನ್ನ ಹೆಸರೇನು?,ninna hesarenu?,तुझं नाव काय?,tujh naam kaay?,તમારું નામ શું છે?,tamaaru naam shu chhe?,ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?,tuhada naam ki hai?,question,introduction
9,My name is John,मेरा नाम जॉन है,mera naam John hai,என் பெயர் ஜான்,en peyar Jaan,నా పేరు జాన్,naa peru Jaan,আমার নাম জন,amar naam John,എന്റെ പേര് ജോൺ,ente peru jon,ನನ್ನ ಹೆಸರು ಜಾನ್,nanna hesaru Jaan,माझं नाव जॉन आहे,maajh naam John aahe,મારું નામ જોન છે,maarun naam Jon chhe,ਮੇਰਾ ਨਾਮ ਜੌਨ ਹੈ,mera naam John hai,introduction,introduction
10,Please help me,कृपया मेरी मदद करें,kripaya meri madad karein,தயவு செய்து உதவி செய்யுங்கள்,dayavu seidhu uthavi seiyungal,దయచేసి నాకు సహాయం చేయండి,dayachesi naaku sahaayam cheyandi,দয়া করে আমাকে সাহায্য করুন,dooya kore amake shahajyo korun,ദയവായി എനിക്ക് സഹായിക്കൂ,dayavaayi enikku sahaayikku,ದಯವಿಟ್ಟು ಸಹಾಯ ಮಾಡಿ,dayavittu sahaaya maadi,कृपया मला मदत करा,krupaya mala madat kara,મને મદદ કરો,mane madad karo,ਕਿਰਪਾ ਕਰਕੇ ਮੇਰੀ ਮਦਦ ਕਰੋ,kirpa karke meri madad karo,request,request
11,Where are you from?,आप कहाँ से हैं?,aap kahan se hain?,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,neengal engirunthu varugireergal?,మీరు ఎక్కడి నుండి?,meeru ekkadi nundi?,আপনি কোথা থেকে?,apni kotha theke?,നിങ്ങൾ എവിടെ നിന്നാണ്?,ningal evide ninnanu?,ನೀವು ಎಲ್ಲಿಂದ ಬಂದಿರಿ?,neevu ellinda bandiri?,तू कुठून आलास?,tu kuthun alas?,તમે ક્યાંથી આવ્યાં છો?,tame kyathī aavyaa chho?,ਤੁਸੀਂ ਕਿੱਥੋਂ ਹੋ?,tusi kithon ho?,question,introduction
12,I am from India,मैं भारत से हूँ,main Bharat se hoon,நான் இந்தியாவிலிருந்து வருகிறேன்,naan Indiyavilirunthu varugiren,నేను భారత్ నుండి వచ్చాను,nenu Bharat nundi vachanu,আমি ভারত থেকে এসেছি,ami bharot theke esechi,ഞാൻ ഇന്ത്യയിൽ നിന്ന് വരുന്നു,njan indyayil ninnu varunnu,ನಾನು ಭಾರತದಿಂದ ಬಂದೆ,naanu Bharatinda bande,मी भारतातून आलो,mi Bharataatun aalo,હું ભારત થી છું,huṁ Bharat thi chhuṁ,ਮੈਂ ਭਾਰਤ ਤੋਂ ਹਾਂ,main Bharat ton haan,introduction,introduction
